id,cat3
TEST_00224,사찰
TEST_00225,사찰
TEST_00226,항구/포구
TEST_00227,한식
TEST_00228,농.산.어촌 체험
TEST_00229,한식
TEST_00230,골프
TEST_00231,한식
TEST_00232,바/까페
TEST_00233,일반축제
TEST_00234,"야영장,오토캠핑장"
TEST_00235,유명건물
TEST_00236,사찰
TEST_00237,"야영장,오토캠핑장"
TEST_00238,중식
TEST_00239,산
TEST_00240,이색거리
TEST_00241,"야영장,오토캠핑장"
TEST_00242,산
TEST_00243,등대
TEST_00244,모텔
TEST_00245,항구/포구
TEST_00246,고궁
TEST_00247,한식
TEST_00248,모텔
TEST_00249,"야영장,오토캠핑장"
TEST_00250,폭포
TEST_00251,한식
TEST_00252,한식
TEST_00253,이색거리
TEST_00254,한식
TEST_00255,민물낚시
TEST_00256,유명건물
TEST_00257,"야영장,오토캠핑장"
TEST_00258,관광단지
TEST_00259,썰매장
TEST_00260,중식
TEST_00261,한옥스테이
TEST_00262,관광단지
TEST_00263,요트
TEST_00264,공연장
TEST_00265,계곡
TEST_00266,"야영장,오토캠핑장"
TEST_00267,일반축제
TEST_00268,바/까페
TEST_00269,안보관광
TEST_00270,채식전문점
TEST_00271,한옥스테이
TEST_00272,유적지/사적지
TEST_00273,5일장
TEST_00274,미술관/화랑
TEST_00275,모텔
TEST_00276,승마
TEST_00277,서양식
TEST_00278,항구/포구
TEST_00279,유원지
TEST_00280,"야영장,오토캠핑장"
TEST_00281,바/까페
TEST_00282,박물관
TEST_00283,공원
TEST_00284,폭포
TEST_00285,자전거하이킹
TEST_00286,스키(보드) 렌탈샵
TEST_00287,박물관
TEST_00288,문화원
TEST_00289,상설시장
TEST_00290,농.산.어촌 체험
TEST_00291,기타
TEST_00292,한식
TEST_00293,동상
TEST_00294,전시관
TEST_00295,"야영장,오토캠핑장"
TEST_00296,박람회
TEST_00297,미술관/화랑
TEST_00298,골프
TEST_00299,공연장
TEST_00300,박람회
TEST_00301,상설시장
TEST_00302,계곡
TEST_00303,서양식
TEST_00304,썰매장
TEST_00305,한식
TEST_00306,트래킹
TEST_00307,문화관광축제
TEST_00308,펜션
TEST_00309,해수욕장
TEST_00310,사찰
TEST_00311,기념탑/기념비/전망대
TEST_00312,도서관
TEST_00313,중식
TEST_00314,일식
TEST_00315,항구/포구
TEST_00316,"야영장,오토캠핑장"
TEST_00317,테마공원
TEST_00318,"야영장,오토캠핑장"
TEST_00319,공원
TEST_00320,사찰
TEST_00321,골프
TEST_00322,"야영장,오토캠핑장"
TEST_00323,문화원
TEST_00324,민속마을
TEST_00325,펜션
TEST_00326,바/까페
TEST_00327,모텔
TEST_00328,클럽
TEST_00329,자연휴양림
TEST_00330,수목원
TEST_00331,한옥스테이
TEST_00332,한옥스테이
TEST_00333,일식
TEST_00334,해수욕장
TEST_00335,일식
TEST_00336,중식
TEST_00337,"야영장,오토캠핑장"
TEST_00338,섬
TEST_00339,유스호스텔
TEST_00340,한식
TEST_00341,성
TEST_00342,고택
TEST_00343,골프
TEST_00344,자동차경주
TEST_00345,박물관
TEST_00346,유적지/사적지
TEST_00347,바/까페
TEST_00348,채식전문점
TEST_00349,펜션
TEST_00350,문화관광축제
TEST_00351,컨벤션
TEST_00352,사찰
TEST_00353,중식
TEST_00354,서양식
TEST_00355,5일장
TEST_00356,수목원
TEST_00357,문
TEST_00358,한식
TEST_00359,서양식
TEST_00360,농.산.어촌 체험
TEST_00361,한식
TEST_00362,일식
TEST_00363,공원
TEST_00364,한식
TEST_00365,관광단지
TEST_00366,기념탑/기념비/전망대
TEST_00367,모텔
TEST_00368,유적지/사적지
TEST_00369,고택
TEST_00370,안보관광
TEST_00371,한식
TEST_00372,농.산.어촌 체험
TEST_00373,유적지/사적지
TEST_00374,일식
TEST_00375,한식
TEST_00376,"야영장,오토캠핑장"
TEST_00377,펜션
TEST_00378,모텔
TEST_00379,한식
TEST_00380,기념관
TEST_00381,수련시설
TEST_00382,농.산.어촌 체험
TEST_00383,계곡
TEST_00384,박물관
TEST_00385,한식
TEST_00386,"야영장,오토캠핑장"
TEST_00387,골프
TEST_00388,"공예,공방"
TEST_00389,강
TEST_00390,민물낚시
TEST_00391,일반축제
TEST_00392,수련시설
TEST_00393,박물관
TEST_00394,자전거하이킹
TEST_00395,"야영장,오토캠핑장"
TEST_00396,채식전문점
TEST_00397,생가
TEST_00398,도서관
TEST_00399,민속마을
TEST_00400,계곡
TEST_00401,채식전문점
TEST_00402,한식
TEST_00403,모텔
TEST_00404,바/까페
TEST_00405,해수욕장
TEST_00406,"야영장,오토캠핑장"
TEST_00407,펜션
TEST_00408,한식
TEST_00409,일식
TEST_00410,농.산.어촌 체험
TEST_00411,골프
TEST_00412,서양식
TEST_00413,바다낚시
TEST_00414,일반축제
TEST_00415,기념관
TEST_00416,계곡
TEST_00417,미술관/화랑
TEST_00418,상설시장
TEST_00419,중식
TEST_00420,일반축제
TEST_00421,바/까페
TEST_00422,한식
TEST_00423,사찰
TEST_00424,유적지/사적지
TEST_00425,일식
TEST_00426,산
TEST_00427,바/까페
TEST_00428,한식
TEST_00429,트래킹
TEST_00430,박람회
TEST_00431,일반축제
TEST_00432,중식
TEST_00433,펜션
TEST_00434,문화원
TEST_00435,모텔
TEST_00436,"야영장,오토캠핑장"
TEST_00437,전문상가
TEST_00438,한식
TEST_00439,트래킹
TEST_00440,모텔
TEST_00441,한식
TEST_00442,테마공원
TEST_00443,한식
TEST_00444,기념탑/기념비/전망대
TEST_00445,한식
TEST_00446,일반축제
TEST_00447,민물낚시
TEST_00448,바/까페
TEST_00449,자동차경주
TEST_00450,사찰
TEST_00451,골프
TEST_00452,고궁
TEST_00453,중식
TEST_00454,"공예,공방"
TEST_00455,"야영장,오토캠핑장"
TEST_00456,전문상가
TEST_00457,래프팅
TEST_00458,한식
TEST_00459,기타행사
TEST_00460,"야영장,오토캠핑장"
TEST_00461,"공예,공방"
TEST_00462,한식
TEST_00463,모텔
TEST_00464,한식
TEST_00465,"야영장,오토캠핑장"
TEST_00466,섬
TEST_00467,농.산.어촌 체험
TEST_00468,한식
TEST_00469,일식
TEST_00470,펜션
TEST_00471,유명건물
TEST_00472,기암괴석
TEST_00473,유명건물
TEST_00474,관광단지
TEST_00475,폭포
TEST_00476,중식
TEST_00477,중식
TEST_00478,서양식
TEST_00479,한식
TEST_00480,박물관
TEST_00481,펜션
TEST_00482,관광단지
TEST_00483,일식
TEST_00484,공원
TEST_00485,농.산.어촌 체험
TEST_00486,희귀동.식물
TEST_00487,썰매장
TEST_00488,공연장
TEST_00489,사찰
TEST_00490,자연휴양림
TEST_00491,펜션
TEST_00492,유원지
TEST_00493,"야영장,오토캠핑장"
TEST_00494,"야영장,오토캠핑장"
TEST_00495,바/까페
TEST_00496,"야영장,오토캠핑장"
TEST_00497,유적지/사적지
TEST_00498,한식
TEST_00499,한식
TEST_00500,"공예,공방"
TEST_00501,서양식
TEST_00502,이색거리
TEST_00503,한식
TEST_00504,관광단지
TEST_00505,산
TEST_00506,산
TEST_00507,한식
TEST_00508,윈드서핑/제트스키
TEST_00509,일식
TEST_00510,골프
TEST_00511,유명건물
TEST_00512,상설시장
TEST_00513,종교성지
TEST_00514,특산물판매점
TEST_00515,테마공원
TEST_00516,기념탑/기념비/전망대
TEST_00517,"야영장,오토캠핑장"
TEST_00518,한식
TEST_00519,사찰
TEST_00520,일반축제
TEST_00521,한식
TEST_00522,콘도미니엄
TEST_00523,도서관
TEST_00524,사찰
TEST_00525,동상
TEST_00526,"야영장,오토캠핑장"
TEST_00527,중식
TEST_00528,계곡
TEST_00529,"야영장,오토캠핑장"
TEST_00530,한식
TEST_00531,"야영장,오토캠핑장"
TEST_00532,테마공원
TEST_00533,상설시장
TEST_00534,일반축제
TEST_00535,"공예,공방"
TEST_00536,"야영장,오토캠핑장"
TEST_00537,펜션
TEST_00538,패밀리레스토랑
TEST_00539,산
TEST_00540,농.산.어촌 체험
TEST_00541,기암괴석
TEST_00542,서양식
TEST_00543,한식
TEST_00544,폭포
TEST_00545,도서관
TEST_00546,한식
TEST_00547,모텔
TEST_00548,"야영장,오토캠핑장"
TEST_00549,한식
TEST_00550,공원
TEST_00551,박물관
TEST_00552,한식
TEST_00553,서양식
TEST_00554,박물관
TEST_00555,테마공원
TEST_00556,미술관/화랑
TEST_00557,고택
TEST_00558,한식
TEST_00559,"야영장,오토캠핑장"
TEST_00560,전문상가
TEST_00561,해수욕장
TEST_00562,계곡
TEST_00563,사찰
TEST_00564,"야영장,오토캠핑장"
TEST_00565,"야영장,오토캠핑장"
TEST_00566,"야영장,오토캠핑장"
TEST_00567,모텔
TEST_00568,한식
TEST_00569,기념탑/기념비/전망대
TEST_00570,종교성지
TEST_00571,한식
TEST_00572,"야영장,오토캠핑장"
TEST_00573,바/까페
TEST_00574,한식
TEST_00575,테마공원
TEST_00576,한식
TEST_00577,사찰
TEST_00578,수련시설
TEST_00579,해수욕장
TEST_00580,펜션
TEST_00581,한식
TEST_00582,한식
TEST_00583,펜션
TEST_00584,홈스테이
TEST_00585,"야영장,오토캠핑장"
TEST_00586,"야영장,오토캠핑장"
TEST_00587,전문상가
TEST_00588,박람회
TEST_00589,바/까페
TEST_00590,수목원
TEST_00591,일반축제
TEST_00592,"야영장,오토캠핑장"
TEST_00593,바/까페
TEST_00594,골프
TEST_00595,모텔
TEST_00596,문화원
TEST_00597,계곡
TEST_00598,한식
TEST_00599,농.산.어촌 체험
TEST_00600,유적지/사적지
TEST_00601,한식
TEST_00602,관광단지
TEST_00603,생가
TEST_00604,성
TEST_00605,기타행사
TEST_00606,공원
TEST_00607,해수욕장
TEST_00608,서양식
TEST_00609,5일장
TEST_00610,패밀리레스토랑
TEST_00611,한식
TEST_00612,사찰
TEST_00613,한식
TEST_00614,바/까페
TEST_00615,바/까페
TEST_00616,"야영장,오토캠핑장"
TEST_00617,유적지/사적지
TEST_00618,산
TEST_00619,사찰
TEST_00620,"야영장,오토캠핑장"
TEST_00621,공원
TEST_00622,바/까페
TEST_00623,한식
TEST_00624,일식
TEST_00625,공원
TEST_00626,한식
TEST_00627,5일장
TEST_00628,관광단지
TEST_00629,트래킹
TEST_00630,한식
TEST_00631,한식
TEST_00632,한식
TEST_00633,사찰
TEST_00634,한옥스테이
TEST_00635,"야영장,오토캠핑장"
TEST_00636,박물관
TEST_00637,한식
TEST_00638,패밀리레스토랑
TEST_00639,"공예,공방"
TEST_00640,폭포
TEST_00641,중식
TEST_00642,자동차경주
TEST_00643,해수욕장
TEST_00644,한식
TEST_00645,항구/포구
TEST_00646,도서관
TEST_00647,기암괴석
TEST_00648,골프
TEST_00649,한식
TEST_00650,자연생태관광지
TEST_00651,기념탑/기념비/전망대
TEST_00652,공원
TEST_00653,한식
TEST_00654,바다낚시
TEST_00655,희귀동.식물
TEST_00656,섬
TEST_00657,고택
TEST_00658,박물관
TEST_00659,한식
TEST_00660,5일장
TEST_00661,한식
TEST_00662,한식
TEST_00663,유명건물
TEST_00664,바/까페
TEST_00665,"야영장,오토캠핑장"
TEST_00666,"야영장,오토캠핑장"
TEST_00667,한옥스테이
TEST_00668,사찰
TEST_00669,박람회
TEST_00670,계곡
TEST_00671,공연장
TEST_00672,자연생태관광지
TEST_00673,민속마을
TEST_00674,콘도미니엄
TEST_00675,트래킹
TEST_00676,유명건물
TEST_00677,공연장
TEST_00678,"야영장,오토캠핑장"
TEST_00679,트래킹
TEST_00680,기념관
TEST_00681,한식
TEST_00682,국립공원
TEST_00683,특산물판매점
TEST_00684,항구/포구
TEST_00685,한식
TEST_00686,"야영장,오토캠핑장"
TEST_00687,한식
TEST_00688,유명건물
TEST_00689,펜션
TEST_00690,공연장
TEST_00691,"공예,공방"
TEST_00692,농.산.어촌 체험
TEST_00693,"야영장,오토캠핑장"
TEST_00694,일반축제
TEST_00695,모텔
TEST_00696,바다낚시
TEST_00697,중식
TEST_00698,골프
TEST_00699,다리/대교
TEST_00700,일식
TEST_00701,바/까페
TEST_00702,산
TEST_00703,패밀리레스토랑
TEST_00704,등대
TEST_00705,바/까페
TEST_00706,상설시장
TEST_00707,자연휴양림
TEST_00708,한식
TEST_00709,한식
TEST_00710,박물관
TEST_00711,박람회
TEST_00712,미술관/화랑
TEST_00713,바/까페
TEST_00714,온천/욕장/스파
TEST_00715,한식
TEST_00716,박물관
TEST_00717,산
TEST_00718,펜션
TEST_00719,"야영장,오토캠핑장"
TEST_00720,"공예,공방"
TEST_00721,한옥스테이
TEST_00722,한식
TEST_00723,한식
TEST_00724,5일장
TEST_00725,"야영장,오토캠핑장"
TEST_00726,공원
TEST_00727,펜션
TEST_00728,해수욕장
TEST_00729,펜션
TEST_00730,농.산.어촌 체험
TEST_00731,한식
TEST_00732,한식
TEST_00733,한식
TEST_00734,바/까페
TEST_00735,"야영장,오토캠핑장"
TEST_00736,모텔
TEST_00737,사찰
TEST_00738,공원
TEST_00739,전시관
TEST_00740,"야영장,오토캠핑장"
TEST_00741,미술관/화랑
TEST_00742,펜션
TEST_00743,민물낚시
TEST_00744,"야영장,오토캠핑장"
TEST_00745,자연휴양림
TEST_00746,바/까페
TEST_00747,바/까페
TEST_00748,펜션
TEST_00749,산
TEST_00750,바/까페
TEST_00751,"야영장,오토캠핑장"
TEST_00752,한식
TEST_00753,골프
TEST_00754,미술관/화랑
TEST_00755,한식
TEST_00756,"야영장,오토캠핑장"
TEST_00757,기암괴석
TEST_00758,계곡
TEST_00759,산
TEST_00760,고궁
TEST_00761,상설시장
TEST_00762,한식
TEST_00763,일반축제
TEST_00764,기타행사
TEST_00765,도서관
TEST_00766,상설시장
TEST_00767,유적지/사적지
TEST_00768,계곡
TEST_00769,전문상가
TEST_00770,문화원
TEST_00771,한식
TEST_00772,바/까페
TEST_00773,기념탑/기념비/전망대
TEST_00774,한식
TEST_00775,유명건물
TEST_00776,온천/욕장/스파
TEST_00777,유명건물
TEST_00778,사찰
TEST_00779,한식
TEST_00780,중식
TEST_00781,전문상가
TEST_00782,자연휴양림
TEST_00783,"야영장,오토캠핑장"
TEST_00784,"야영장,오토캠핑장"
TEST_00785,상설시장
TEST_00786,바/까페
TEST_00787,"야영장,오토캠핑장"
TEST_00788,도서관
TEST_00789,전문상가
TEST_00790,일식
TEST_00791,패밀리레스토랑
TEST_00792,공연장
TEST_00793,고궁
TEST_00794,사찰
TEST_00795,일식
TEST_00796,한식
TEST_00797,사찰
TEST_00798,미술관/화랑
TEST_00799,한식
TEST_00800,유명건물
TEST_00801,공연장
TEST_00802,해수욕장
TEST_00803,사찰
TEST_00804,사찰
TEST_00805,특산물판매점
TEST_00806,성
TEST_00807,사찰
TEST_00808,일반축제
TEST_00809,항구/포구
TEST_00810,자연생태관광지
TEST_00811,미술관/화랑
TEST_00812,농.산.어촌 체험
TEST_00813,한식
TEST_00814,바/까페
TEST_00815,호수
TEST_00816,한식
TEST_00817,"야영장,오토캠핑장"
TEST_00818,바/까페
TEST_00819,문화관광축제
TEST_00820,한식
TEST_00821,해수욕장
TEST_00822,농.산.어촌 체험
TEST_00823,한식
TEST_00824,자연휴양림
TEST_00825,박물관
TEST_00826,유적지/사적지
TEST_00827,트래킹
TEST_00828,자동차경주
TEST_00829,한식
TEST_00830,일반축제
TEST_00831,채식전문점
TEST_00832,골프
TEST_00833,이색찜질방
TEST_00834,자연휴양림
TEST_00835,도서관
TEST_00836,기념관
TEST_00837,바/까페
TEST_00838,안보관광
TEST_00839,종교성지
TEST_00840,한식
TEST_00841,패밀리레스토랑
TEST_00842,모텔
TEST_00843,트래킹
TEST_00844,사찰
TEST_00845,사찰
TEST_00846,"야영장,오토캠핑장"
TEST_00847,기타행사
TEST_00848,채식전문점
TEST_00849,패밀리레스토랑
TEST_00850,사찰
TEST_00851,테마공원
TEST_00852,기타
TEST_00853,트래킹
TEST_00854,해수욕장
TEST_00855,바/까페
TEST_00856,모텔
TEST_00857,공원
TEST_00858,고택
TEST_00859,수영
TEST_00860,바/까페
TEST_00861,해안절경
TEST_00862,중식
TEST_00863,문화원
TEST_00864,"공예,공방"
TEST_00865,한식
TEST_00866,펜션
TEST_00867,공원
TEST_00868,바/까페
TEST_00869,일반축제
TEST_00870,유적지/사적지
TEST_00871,펜션
TEST_00872,산
TEST_00873,한식
TEST_00874,일반축제
TEST_00875,한식
TEST_00876,"야영장,오토캠핑장"
TEST_00877,중식
TEST_00878,"야영장,오토캠핑장"
TEST_00879,미술관/화랑
TEST_00880,한옥스테이
TEST_00881,한식
TEST_00882,유원지
TEST_00883,해수욕장
TEST_00884,한옥스테이
TEST_00885,상설시장
TEST_00886,골프
TEST_00887,성
TEST_00888,한식
TEST_00889,국립공원
TEST_00890,기암괴석
TEST_00891,자동차경주
TEST_00892,모텔
TEST_00893,모텔
TEST_00894,바/까페
TEST_00895,한식
TEST_00896,"야영장,오토캠핑장"
TEST_00897,펜션
TEST_00898,생가
TEST_00899,바/까페
TEST_00900,한식
TEST_00901,게스트하우스
TEST_00902,바/까페
TEST_00903,공원
TEST_00904,해수욕장
TEST_00905,민물낚시
TEST_00906,온천/욕장/스파
TEST_00907,모텔
TEST_00908,한식
TEST_00909,도서관
TEST_00910,펜션
TEST_00911,사찰
TEST_00912,일식
TEST_00913,모텔
TEST_00914,채식전문점
TEST_00915,유원지
TEST_00916,사찰
TEST_00917,5일장
TEST_00918,중식
TEST_00919,바/까페
TEST_00920,수련시설
TEST_00921,이색거리
TEST_00922,"야영장,오토캠핑장"
TEST_00923,모텔
TEST_00924,한식
TEST_00925,계곡
TEST_00926,산
TEST_00927,"야영장,오토캠핑장"
TEST_00928,공원
TEST_00929,유적지/사적지
TEST_00930,서양식
TEST_00931,유명건물
TEST_00932,골프
TEST_00933,상설시장
TEST_00934,한식
TEST_00935,트래킹
TEST_00936,산
TEST_00937,기암괴석
TEST_00938,항구/포구
TEST_00939,수련시설
TEST_00940,클럽
TEST_00941,일반축제
TEST_00942,수련시설
TEST_00943,기념탑/기념비/전망대
TEST_00944,트래킹
TEST_00945,농.산.어촌 체험
TEST_00946,콘도미니엄
TEST_00947,일반축제
TEST_00948,한식
TEST_00949,바/까페
TEST_00950,"야영장,오토캠핑장"
TEST_00951,"야영장,오토캠핑장"
TEST_00952,일식
TEST_00953,"야영장,오토캠핑장"
TEST_00954,바/까페
TEST_00955,"야영장,오토캠핑장"
TEST_00956,한식
TEST_00957,게스트하우스
TEST_00958,한식
TEST_00959,썰매장
TEST_00960,한식
TEST_00961,한식
TEST_00962,"야영장,오토캠핑장"
TEST_00963,미술관/화랑
TEST_00964,트래킹
TEST_00965,한식
TEST_00966,게스트하우스
TEST_00967,한식
TEST_00968,트래킹
TEST_00969,민속마을
TEST_00970,바/까페
TEST_00971,한식
TEST_00972,한식
TEST_00973,기념관
TEST_00974,한식
TEST_00975,한식
TEST_00976,계곡
TEST_00977,문화원
TEST_00978,해안절경
TEST_00979,한식
TEST_00980,농.산.어촌 체험
TEST_00981,"야영장,오토캠핑장"
TEST_00982,대형서점
TEST_00983,일식
TEST_00984,한식
TEST_00985,박물관
TEST_00986,유명건물
TEST_00987,수련시설
TEST_00988,한식
TEST_00989,홈스테이
TEST_00990,"야영장,오토캠핑장"
TEST_00991,도서관
TEST_00992,농.산.어촌 체험
TEST_00993,모텔
TEST_00994,한식
TEST_00995,바/까페
TEST_00996,한식
TEST_00997,"야영장,오토캠핑장"
TEST_00998,사찰
TEST_00999,공원
TEST_01000,한식
TEST_01001,강
TEST_01002,한식
TEST_01003,전문상가
TEST_01004,모텔
TEST_01005,공원
TEST_01006,일반축제
TEST_01007,유적지/사적지
TEST_01008,"야영장,오토캠핑장"
TEST_01009,"야영장,오토캠핑장"
TEST_01010,서양식
TEST_01011,모텔
TEST_01012,"야영장,오토캠핑장"
TEST_01013,한식
TEST_01014,모텔
TEST_01015,산
TEST_01016,모텔
TEST_01017,한식
TEST_01018,기념관
TEST_01019,박물관
TEST_01020,승마
TEST_01021,바/까페
TEST_01022,한식
TEST_01023,사찰
TEST_01024,한식
TEST_01025,한식
TEST_01026,사찰
TEST_01027,테마공원
TEST_01028,"야영장,오토캠핑장"
TEST_01029,사찰
TEST_01030,바/까페
TEST_01031,박물관
TEST_01032,스키(보드) 렌탈샵
TEST_01033,테마공원
TEST_01034,트래킹
TEST_01035,펜션
TEST_01036,항구/포구
TEST_01037,특산물판매점
TEST_01038,서양식
TEST_01039,유적지/사적지
TEST_01040,패밀리레스토랑
TEST_01041,섬
TEST_01042,농.산.어촌 체험
TEST_01043,박물관
TEST_01044,민물낚시
TEST_01045,펜션
TEST_01046,기념탑/기념비/전망대
TEST_01047,민속마을
TEST_01048,박람회
TEST_01049,이색거리
TEST_01050,컨벤션센터
TEST_01051,안보관광
TEST_01052,일반축제
TEST_01053,서양식
TEST_01054,유적지/사적지
TEST_01055,상설시장
TEST_01056,한식
TEST_01057,온천/욕장/스파
TEST_01058,자연휴양림
TEST_01059,모텔
TEST_01060,미술관/화랑
TEST_01061,"야영장,오토캠핑장"
TEST_01062,바/까페
TEST_01063,"야영장,오토캠핑장"
TEST_01064,펜션
TEST_01065,자연휴양림
TEST_01066,상설시장
TEST_01067,사찰
TEST_01068,사찰
TEST_01069,골프
TEST_01070,한식
TEST_01071,홈스테이
TEST_01072,서양식
TEST_01073,동상
TEST_01074,유적지/사적지
TEST_01075,유람선/잠수함관광
TEST_01076,한식
TEST_01077,수련시설
TEST_01078,한식
TEST_01079,자연휴양림
TEST_01080,한식
TEST_01081,유적지/사적지
TEST_01082,한식
TEST_01083,수영
TEST_01084,"야영장,오토캠핑장"
TEST_01085,터널
TEST_01086,홈스테이
TEST_01087,서양식
TEST_01088,일반축제
TEST_01089,바/까페
TEST_01090,기념탑/기념비/전망대
TEST_01091,유원지
TEST_01092,일반축제
TEST_01093,안보관광
TEST_01094,한식
TEST_01095,펜션
TEST_01096,문화원
TEST_01097,박람회
TEST_01098,한옥스테이
TEST_01099,한식
TEST_01100,미술관/화랑
TEST_01101,"야영장,오토캠핑장"
TEST_01102,문화원
TEST_01103,게스트하우스
TEST_01104,골프
TEST_01105,한옥스테이
TEST_01106,"야영장,오토캠핑장"
TEST_01107,테마공원
TEST_01108,특산물판매점
TEST_01109,골프
